,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Vila da Praia da Vitória ,2010,21033,0,0,16.8,70,13.1,78,178,0.8,0,211,0,0,102,65,0,6,9496,58,22,18,2,3,2,4117,0,0,0,124,0,18.4,2078,4457,13,26,0,12,1,35,4666,844,31,1969,456,3,187,20907.6,21215.7,308,76.6,34.7,4231.7,66.5,1,7
Vila da Praia da Vitória ,2019,21324,0,132.2,14.1,70.6,15.3,109,209,1,157,191,0,-34,58,47,0,6,9754,26,20,16,2,3,2,3324,0,0,0,41,1,0,0,0,0,0,0,7,1,30,4944,959,32,1381,0,0,161,0,0,0,0,27.7,0,105.9,0,18
Vila de Rei ,2010,3468,0,0,11,54,35,318,45,1.3,0,88,0,-72,12,3,0,1,2955,14,2,1,1,1,0,364,0,0,0,0,0,12.7,297,631,11,27,667,3,1,5,1517,132,53,93,102,5,129,5751.7,5769.6,18,88.3,34.3,2881.8,83,1,0
Vila de Rei ,2019,3322,0,17.3,7,61.9,31.1,441,63,1.9,11,77,0,-66,10,5,0,1,3005,4,2,1,1,1,1,300,0,0,1,0,0,0,0,0,0,0,0,1,1,4,1429,154,51,42,52,3,135,0,0,0,0,23.8,0,86.7,0,11
Vila do Bispo ,2010,5269,0,0,12.3,62.4,25.2,205,787,14.9,0,54,0,-19,17,13,0,2,5888,53,4,6,1,1,0,535,0,0,0,0,0,6.9,760,1996,20,26,861,3,2,12,1452,249,37,127,175,5,257,11136.3,10805.6,-331,40,75.9,6145.7,347.9,7,10
Vila do Bispo ,2019,5154,0,28.8,12.3,61,26.7,218,1918,37.2,40,53,25,-13,71,4,0,2,6131,11,3,4,2,1,0,562,0,0,1,27,0,0,0,0,0,0,0,1,2,8,1433,281,38,27,143,5,249,0,0,0,0,60.3,0,353.1,0,32
Vila do Conde ,2010,79411,0,0,16.4,69.5,14.1,86,1252,1.6,0,589,0,259,377,257,1,17,37566,119,59,44,5,7,3,13622,1,1113,4,0,1,16,7892,26377,5,16,951,31,4,90,18848,2121,31,3958,5705,10,1343,45131.9,52104,6972,41.7,32.6,4853.6,80.7,5,5
Vila do Conde ,2019,79739,0,535.1,14.2,67,18.8,133,2121,2.7,692,732,0,-40,384,206,1,17,38621,49,47,36,6,7,3,10729,2,1311,1,86,2,0,0,0,0,0,0,16,5,79,21475,2449,35,1178,2463,5,1153,0,0,0,0,29.3,0,142.7,0,16
Vila do Porto ,2010,5567,0,0,17.7,69.8,12.6,71,64,1.1,0,72,0,-13,15,11,0,1,3568,11,7,6,1,1,1,1131,0,0,1,0,0,5.9,605,1160,9,22,0,3,0,4,884,475,30,603,153,4,90,5046,5135.7,90,85.3,25.9,3521.5,3.1,2,4
Vila do Porto ,2019,5620,0,58,14.2,71,14.7,104,131,2.3,37,58,0,-21,17,13,0,2,3659,10,6,5,1,1,1,898,0,0,1,11,0,0,0,0,0,0,0,3,0,7,948,534,31,248,0,0,97,0,0,0,0,21,0,119.8,0,11
Vila Flor ,2010,6772,0,0,11.1,60.7,28.1,253,145,2.1,0,82,0,-38,26,15,0,2,5175,28,11,7,1,1,1,892,0,0,1,0,0,13.1,630,1394,30,46,848,3,2,6,2227,372,44,205,343,8,158,8176.4,8709.8,533,80.7,40.8,3400,39,9,0
Vila Flor ,2019,6059,0,22.8,9.1,60.5,30.4,334,220,3.6,39,104,0,-65,12,5,0,2,5305,3,9,5,1,1,1,632,0,0,1,12,1,0,0,0,0,0,0,2,1,7,1928,395,42,246,242,7,152,0,0,0,0,31.4,0,70.3,0,9
Vila Franca de Xira ,2010,136224,0,0,17,69.8,13.2,78,8086,5.9,0,1030,0,613,393,468,1,27,64852,75,55,43,11,14,5,26186,0,0,3,336,0,7.1,12304,41939,15,21,1116,65,5,168,25783,7476,29,4160,6576,7,895,69225.4,68046.2,-1179,37.4,29.9,7586.5,47,5,2
Vila Franca de Xira ,2019,141780,0,445.6,15.8,66.1,18.1,115,7542,5.3,1313,1057,0.8,256,337,301,1,28,65374,17,51,38,11,10,8,22948,0,0,3,376,0,0,0,0,0,0,0,38,4,121,30672,8711,33,2292,3096,3,933,0,0,0,0,24.4,0,59.7,0,6
Vila Franca do Campo ,2010,11216,0,0,19.7,68.9,11.5,58,57,0.5,0,105,0,23,43,25,0,2,4061,35,10,8,1,1,2,2376,0,0,1,0,0,4.8,1056,1867,16,41,0,7,1,12,1681,351,23,1348,294,4,113,6217.1,7145.9,929,71.8,38.2,1983.3,35.9,6,2
Vila Franca do Campo ,2019,11065,0,141.9,15.9,71.4,12.7,80,84,0.8,91,98,0,-7,34,14,0,2,4254,9,6,4,2,2,2,1861,0,0,1,0,0,0,0,0,0,0,0,4,1,9,1612,375,21,910,0,0,102,0,0,0,0,28.2,0,243.3,0,9
Vila Nova da Barquinha ,2010,7338,0,0,14.2,61.6,24.2,171,59,0.8,0,82,0,-25,28,14,0,3,4091,21,6,5,2,2,1,894,0,0,0,0,0,13.6,566,987,10,34,806,2,0,10,2067,744,45,209,241,5,183,10418.7,9756.1,-663,78.3,24.8,2830.5,45.5,3,1
Vila Nova da Barquinha ,2019,7432,0,150,12.1,62.1,25.8,214,90,1.2,50,114,0,-64,51,9,0,3,4228,16,6,2,1,1,1,891,0,0,1,17,0,0,0,0,0,0,0,1,0,8,2125,926,47,178,127,3,159,0,0,0,0,24.5,0,89.9,0,6
Vila Nova de Cerveira ,2010,9275,0,0,13.8,64.6,21.5,156,237,2.6,0,115,0,-34,50,14,0,3,6146,32,7,5,2,3,3,2152,1,206,0,0,0,9.2,980,3681,27,56,922,5,1,8,2770,453,40,178,370,6,257,15589.5,13627.9,-1962,76,43.7,6360.5,38.4,2,5
Vila Nova de Cerveira ,2019,8894,0,82,11.6,64.9,23.5,202,296,3.3,72,127,0,-55,30,14,0,3,6305,27,4,3,1,1,2,1124,1,129,1,54,0,0,0,0,0,0,0,4,1,10,2759,515,42,75,191,3,240,0,0,0,0,35.9,0,88.5,0,12
Vila Nova de Famalicão ,2010,133849,0,0,16.3,70.6,13.1,80,1256,0.9,0,941,0,277,516,317,2,27,55106,358,82,71,11,16,10,28801,2,2499,5,19,1,7.7,12413,51979,8,21,919,62,4,137,33122,2286,32,5228,9100,10,1222,71188.4,72171.5,983,42.7,25.9,6425.5,51.4,5,4
Vila Nova de Famalicão ,2019,131707,0,653.3,12.9,69,18.1,140,1838,1.4,1107,1099,1.8,8,393,313,2,29,57012,237,76,55,10,14,9,19597,2,1231,6,288,2,0,0,0,0,0,0,38,4,111,37635,2681,35,1562,3442,4,1480,0,0,0,0,22.9,0,84,0,11
Vila Nova de Foz Côa ,2010,7392,0,0,11.3,57.9,30.8,273,119,1.6,0,131,0,-88,16,13,0,4,6474,8,6,2,1,1,1,1811,0,0,1,0,0,8.6,684,1174,11,22,819,2,2,8,2508,451,46,266,288,7,167,10086.7,10175.1,88,83.5,27.2,3017.3,36.3,1,1
Vila Nova de Foz Côa ,2019,6522,0,16.4,8.7,59.7,31.5,361,187,2.9,37,139,0,-102,13,13,0,4,6531,3,3,2,1,1,1,615,0,0,2,0,1,0,0,0,0,0,0,2,2,8,1995,431,41,100,194,5,170,0,0,0,0,33,0,54.3,0,5
Vila Nova de Gaia ,2010,302313,0,0,15.7,69.7,14.6,93,4972,1.6,0,2282,0,711,1006,953,3,62,141945,195,148,114,20,31,17,53581,7,3125,3,482,31,21.8,30090,83916,4,16,1033,125,4,318,70827,10777,32,31315,27753,13,1868,103660.3,110911.8,7252,33.6,31.3,4175.7,43.7,15,18
Vila Nova de Gaia ,2019,300205,0,1782.1,13.5,67,19.5,144,8251,2.7,2483,2680,2.8,-197,814,672,6,66,144078,131,139,103,23,33,19,44031,9,4333,3,222,31,0,0,0,0,0,0,68,4,264,80235,12525,36,15217,14967,7,2059,0,0,0,0,30.9,0,65.1,0,51
Vila Nova de Paiva ,2010,5238,0,0,13.4,60.8,25.7,192,31,0.6,0,71,0,-37,24,9,0,1,4378,22,5,5,1,2,1,883,0,0,0,0,0,7.1,429,763,7,35,703,2,1,4,1622,190,40,193,358,11,132,6023.5,6635.2,612,81.1,34.2,2554.8,27.1,6,0
Vila Nova de Paiva ,2019,4705,0,26.8,10.5,62.6,26.8,255,49,1,22,81,0,-59,23,9,0,1,4503,16,4,4,1,2,1,591,0,0,2,2,0,0,0,0,0,0,0,2,1,4,1469,228,40,109,207,7,114,0,0,0,0,22.7,0,65.5,0,1
Vila Nova de Poiares ,2010,7280,0,0,16,65.9,18.1,113,190,2.6,0,85,0,-12,21,23,0,2,4554,15,4,4,1,1,1,1499,0,0,0,0,0,20,804,2431,25,57,779,2,1,6,1895,288,36,525,282,6,162,7309.6,7419.2,110,76.4,24,3219.6,42.3,2,0
Vila Nova de Poiares ,2019,6934,0,82.1,12.1,68.6,19.3,159,298,4.3,40,80,0,-40,14,18,0,2,4601,4,5,3,1,1,1,989,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1950,360,38,201,181,4,121,0,0,0,0,22.1,0,58.3,0,7
Vila Pouca de Aguiar ,2010,13323,0,0,12.1,61.9,26,214,116,0.9,0,172,0,-82,54,25,0,4,10022,31,15,7,2,2,1,1978,0,0,1,0,0,5,1184,2555,13,56,741,8,1,13,4638,691,46,668,759,9,240,14340.8,15404.9,1064,77.3,36,3323,44.2,4,3
Vila Pouca de Aguiar ,2019,11985,0,27.4,8.6,61.1,30.3,352,148,1.2,49,171,0,-122,23,15,0,4,10171,17,10,3,2,2,1,1239,0,0,1,39,0,0,0,0,0,0,0,5,1,9,4285,713,46,414,473,6,250,0,0,0,0,19.6,0,47.3,0,7
Vila Real ,2010,51875,0,0,15.1,67.7,17.2,114,716,1.4,0,446,0,53,232,132,1,13,29829,113,49,47,4,6,6,11561,2,7368,4,414,7,15.6,5318,12268,6,14,913,28,5,75,12172,3718,36,2455,2882,8,427,26302.2,24216.9,-2085,60.4,26,3479.3,18.8,1,4
Vila Real ,2019,49915,0,131.8,12.3,66.7,21,171,970,1.9,320,446,0,-126,153,118,3,15,30492,26,28,20,4,7,6,8428,5,6460,6,188,8,0,0,0,0,0,0,16,4,62,12072,4216,37,1618,2373,7,376,0,0,0,0,23.1,0,44.3,0,16
Vila Real de Santo António ,2010,19118,0,0,15.7,65.9,18.4,117,1983,10.4,0,213,0,11,51,50,0,5,19591,91,7,7,3,4,2,4072,0,0,0,45,0,4.8,2408,5757,9,14,876,19,3,34,4815,1097,37,1608,1208,10,493,53162.3,51991.1,-1171,10.8,51.8,4295.6,213.3,4,19
Vila Real de Santo António ,2019,18819,0,307.2,14.7,63,22.3,151,2943,15.6,135,233,0,-98,41,35,0,5,20794,31,7,5,3,4,2,3295,0,0,0,28,0,0,0,0,0,0,0,6,3,24,5128,1202,40,432,555,5,350,0,0,0,0,45,0,235.6,0,40
Vila Velha de Ródão ,2010,3562,0,0,6.7,53.5,39.9,599,50,1.4,0,97,0,-80,6,2,0,1,3411,7,2,2,1,1,0,221,0,0,0,0,1,8.8,256,795,40,87,1145,2,0,6,1770,276,62,50,82,4,150,6764.8,7012.8,248,77.4,23,52218.6,3.6,1,0
Vila Velha de Ródão ,2019,3156,0,9.6,6.1,55.4,38.5,635,130,4.1,11,78,0,-67,1,5,0,1,3447,5,1,1,1,1,0,217,0,0,1,8,1,0,0,0,0,0,0,1,0,3,1520,267,61,53,66,4,156,0,0,0,0,33.6,0,68.8,0,6
Vila Verde ,2010,48014,0,0,17.1,66.3,16.6,97,243,0.5,0,434,0,9,222,66,1,11,22869,143,54,41,5,7,2,10168,0,0,0,0,0,6.6,4117,11690,7,13,750,19,4,42,12286,988,33,437,2249,7,416,24426,25965,1539,67.9,34.7,2435.2,29.6,5,3
Vila Verde ,2019,46888,0,205,13.4,67.5,19.1,143,467,1,391,422,0,-31,172,81,1,11,23822,127,31,22,5,7,2,7168,0,0,0,0,0,0,0,0,0,0,0,12,5,41,11947,1156,32,329,1145,4,396,0,0,0,0,25.8,0,59.1,0,18
Vila Viçosa ,2010,8375,0,0,12.8,65,22.2,173,97,1.2,0,96,0,-40,29,23,0,5,4752,5,5,6,1,1,1,1528,0,0,0,0,1,11.6,872,2351,12,24,927,3,3,12,2876,417,45,448,357,7,174,6934.9,7144.9,210,63.3,14.2,5747.1,51.8,7,3
Vila Viçosa ,2019,7688,0,39.5,11.3,64.2,24.5,218,98,1.3,44,119,0,-75,38,9,0,5,4806,10,5,4,1,1,1,1160,0,0,3,42,0,0,0,0,0,0,0,3,3,10,2762,467,47,216,216,4,158,0,0,0,0,13.4,0,39,0,7
Vimioso ,2010,4738,0,0,9.7,53.3,37,381,39,0.8,0,89,0,-60,15,6,0,3,4619,21,2,2,1,1,0,428,0,0,0,0,0,18.6,498,700,4,18,696,4,1,5,2042,266,54,87,179,7,142,10530,9806.4,-724,93.1,40.7,2705.3,29.8,17,1
Vimioso ,2019,4047,0,8.4,10.5,54.4,35.1,334,50,1.2,28,117,0,-89,6,4,0,3,4715,7,2,1,1,1,0,220,0,0,0,20,0,0,0,0,0,0,0,3,1,5,1608,288,53,80,120,5,175,0,0,0,0,30.4,0,28.9,0,8
Vinhais ,2010,9205,0,0,8.4,53.7,37.9,452,39,0.4,0,174,0,-141,16,14,0,3,6987,13,9,5,1,1,1,805,0,0,0,0,0,17.3,698,1156,6,16,719,3,2,6,4188,578,57,345,393,8,198,12379.3,12260,-119,89.1,23,2199.3,30.3,4,1
Vinhais ,2019,7797,0,11.2,6.9,51.1,42,604,41,0.5,27,152,0,-125,13,10,0,4,7074,6,6,2,1,1,1,570,0,0,0,29,0,0,0,0,0,0,0,3,2,5,3555,580,57,245,274,7,196,0,0,0,0,22.4,0,25.5,0,8
Viseu ,2010,99114,0,0,15.8,66.7,17.6,111,2191,2.2,0,877,0,85,475,265,2,23,53906,259,75,71,11,14,6,21295,9,6796,3,248,13,15,10425,26725,4,14,893,65,3,153,22454,6151,34,4839,5391,8,978,59169.4,56587.8,-2582,56.3,33.2,3741.5,37.9,8,13
Viseu ,2019,97120,0,191.5,13.5,65.3,21.2,157,2624,2.7,777,996,6.4,-219,264,247,3,26,56529,106,70,56,11,14,6,16790,7,5112,5,697,13,0,0,0,0,0,0,38,3,121,23685,7001,36,2625,2951,5,814,0,0,0,0,25.8,0,64.5,0,30
Vizela ,2010,23739,0,0,17,72.1,10.9,64,140,0.6,0,151,0,63,108,54,0,5,9030,47,11,12,4,5,2,4986,0,0,0,0,3,9.2,1819,8284,13,20,685,11,1,15,4467,285,24,621,2012,12,311,11371.3,11491.1,120,66.4,38.3,3906.8,42.1,4,0
Vizela ,2019,23869,0,966.3,13.2,71.6,15.3,116,191,0.8,203,149,0,54,72,40,0,4,9401,28,11,11,3,4,4,3569,0,0,0,13,3,0,0,0,0,0,0,10,1,20,6084,365,31,103,772,5,260,0,0,0,0,17.8,0,66.7,0,3
Vouzela ,2010,10656,0,0,12.7,60.7,26.6,210,92,0.9,0,138,0,-71,26,21,0,4,6679,20,14,10,2,3,2,1676,0,0,1,0,0,16.6,947,2280,16,30,762,2,2,15,3692,438,45,160,323,5,179,9657.7,10299.6,642,77.3,31,2937.2,26.1,7,1
Vouzela ,2019,9640,0,49.8,9.7,61,29.2,300,100,1,65,142,15.4,-77,19,16,0,4,6808,15,8,9,2,3,2,1285,0,0,0,22,0,0,0,0,0,0,0,2,2,9,3469,496,46,33,324,6,202,0,0,0,0,23,0,45.5,0,9
